Area,Age,Year at 30 June,Sex,Value
Northland region,0-4 Years,2006,Male,5350
Northland region,0-4 Years,2007,Male,5500
Northland region,0-4 Years,2008,Male,5690
Northland region,0-4 Years,2009,Male,5900
Northland region,0-4 Years,2010,Male,6130
Northland region,0-4 Years,2011,Male,6280
Northland region,0-4 Years,2012,Male,6260
Northland region,0-4 Years,2013,Male,6280
Northland region,0-4 Years,2014,Male,6080
Northland region,0-4 Years,2015,Male,5950
Northland region,0-4 Years,2006,Female,5270
Northland region,0-4 Years,2007,Female,5450
Northland region,0-4 Years,2008,Female,5590
Northland region,0-4 Years,2009,Female,5650
Northland region,0-4 Years,2010,Female,5750
Northland region,0-4 Years,2011,Female,5830
Northland region,0-4 Years,2012,Female,5790
Northland region,0-4 Years,2013,Female,5900
Northland region,0-4 Years,2014,Female,5830
Northland region,0-4 Years,2015,Female,5730
Auckland region,0-4 Years,2006,Male,50910
Auckland region,0-4 Years,2007,Male,52820
Auckland region,0-4 Years,2009,Male,55500
Auckland region,0-4 Years,2008,Male,54530
Auckland region,0-4 Years,2010,Male,56850
Auckland region,0-4 Years,2011,Male,57550
Auckland region,0-4 Years,2012,Male,57680
Auckland region,0-4 Years,2013,Male,56590
Auckland region,0-4 Years,2014,Male,56720
Auckland region,0-4 Years,2015,Male,56870
Waikato region,0-4 Years,2010,Male,15960
Waikato region,0-4 Years,2010,Female,15260
Auckland region,0-4 Years,2011,Female,54310
Auckland region,0-4 Years,2013,Female,53270
Auckland region,0-4 Years,2015,Female,53310
Auckland region,0-4 Years,2014,Female,53300
Auckland region,0-4 Years,2012,Female,54330
Auckland region,0-4 Years,2010,Female,53660
Auckland region,0-4 Years,2008,Female,51270
Auckland region,0-4 Years,2007,Female,49580
Auckland region,0-4 Years,2009,Female,52320
Auckland region,0-4 Years,2006,Female,48040
Waikato region,0-4 Years,2009,Male,15600
Waikato region,0-4 Years,2008,Male,15000
Waikato region,0-4 Years,2006,Male,14320
Waikato region,0-4 Years,2007,Male,14500
Waikato region,0-4 Years,2012,Male,16400
Waikato region,0-4 Years,2011,Male,16310
Waikato region,0-4 Years,2014,Male,16120
Waikato region,0-4 Years,2013,Male,16360
Waikato region,0-4 Years,2015,Male,16050
Bay of Plenty region,0-4 Years,2006,Male,9660
Bay of Plenty region,0-4 Years,2010,Male,10520
Bay of Plenty region,0-4 Years,2009,Male,10410
Bay of Plenty region,0-4 Years,2008,Male,10170
Bay of Plenty region,0-4 Years,2007,Male,9900
Bay of Plenty region,0-4 Years,2012,Male,10490
Bay of Plenty region,0-4 Years,2011,Male,10650
Bay of Plenty region,0-4 Years,2013,Male,10230
Bay of Plenty region,0-4 Years,2015,Male,9960
Bay of Plenty region,0-4 Years,2014,Male,9940
Gisborne region,0-4 Years,2010,Male,2000
Gisborne region,0-4 Years,2009,Male,2000
Gisborne region,0-4 Years,2009,Female,1900
Bay of Plenty region,0-4 Years,2013,Female,9640
Bay of Plenty region,0-4 Years,2015,Female,9590
Gisborne region,0-4 Years,2010,Female,1940
Bay of Plenty region,0-4 Years,2014,Female,9550
Waikato region,0-4 Years,2015,Female,15120
Bay of Plenty region,0-4 Years,2009,Female,9620
Bay of Plenty region,0-4 Years,2007,Female,9250
Bay of Plenty region,0-4 Years,2011,Female,9940
Bay of Plenty region,0-4 Years,2012,Female,9790
Bay of Plenty region,0-4 Years,2008,Female,9530
Bay of Plenty region,0-4 Years,2010,Female,9770
Bay of Plenty region,0-4 Years,2006,Female,9090
Waikato region,0-4 Years,2011,Female,15380
Waikato region,0-4 Years,2013,Female,15380
Waikato region,0-4 Years,2014,Female,15220
Waikato region,0-4 Years,2012,Female,15420
Waikato region,0-4 Years,2009,Female,14940
Waikato region,0-4 Years,2007,Female,14320
Waikato region,0-4 Years,2006,Female,14030
Waikato region,0-4 Years,2008,Female,14610
Gisborne region,0-4 Years,2008,Male,1960
Gisborne region,0-4 Years,2007,Male,1950
Gisborne region,0-4 Years,2012,Male,1990
Gisborne region,0-4 Years,2011,Male,1990
Gisborne region,0-4 Years,2006,Male,1920
Hawke's Bay region,0-4 Years,2006,Male,5480
Hawke's Bay region,0-4 Years,2013,Male,5850
Hawke's Bay region,0-4 Years,2011,Male,5930
Hawke's Bay region,0-4 Years,2012,Male,5860
Hawke's Bay region,0-4 Years,2007,Male,5590
Hawke's Bay region,0-4 Years,2008,Male,5690
Hawke's Bay region,0-4 Years,2009,Male,5710
Hawke's Bay region,0-4 Years,2010,Male,5900
Taranaki region,0-4 Years,2010,Male,4130
Taranaki region,0-4 Years,2011,Male,4270
Taranaki region,0-4 Years,2008,Male,3840
Taranaki region,0-4 Years,2009,Male,3990
Taranaki region,0-4 Years,2007,Male,3750
Taranaki region,0-4 Years,2012,Male,4260
Taranaki region,0-4 Years,2013,Male,4270
Taranaki region,0-4 Years,2006,Male,3670
Gisborne region,0-4 Years,2014,Male,1910
Gisborne region,0-4 Years,2013,Male,1960
Gisborne region,0-4 Years,2015,Male,1880
Hawke's Bay region,0-4 Years,2015,Male,5630
Hawke's Bay region,0-4 Years,2014,Male,5780
Taranaki region,0-4 Years,2014,Male,4210
Taranaki region,0-4 Years,2015,Male,4120
Manawatu-Wanganui region,0-4 Years,2006,Male,7800
Manawatu-Wanganui region,0-4 Years,2009,Male,8190
Manawatu-Wanganui region,0-4 Years,2011,Male,8410
Manawatu-Wanganui region,0-4 Years,2007,Male,7880
Manawatu-Wanganui region,0-4 Years,2008,Male,8010
Manawatu-Wanganui region,0-4 Years,2010,Male,8380
Manawatu-Wanganui region,0-4 Years,2012,Male,8340
Wellington region,0-4 Years,2006,Male,16090
Wellington region,0-4 Years,2007,Male,16350
Wellington region,0-4 Years,2011,Male,17190
Wellington region,0-4 Years,2009,Male,16770
Wellington region,0-4 Years,2008,Male,16520
Wellington region,0-4 Years,2013,Male,16700
Wellington region,0-4 Years,2010,Male,17060
Wellington region,0-4 Years,2012,Male,16950
Wellington region,0-4 Years,2012,Female,16480
Wellington region,0-4 Years,2009,Female,16300
Wellington region,0-4 Years,2010,Female,16580
Wellington region,0-4 Years,2008,Female,16030
Wellington region,0-4 Years,2011,Female,16650
Wellington region,0-4 Years,2013,Female,16070
Manawatu-Wanganui region,0-4 Years,2007,Female,7540
Wellington region,0-4 Years,2007,Female,15730
Wellington region,0-4 Years,2006,Female,15540
Manawatu-Wanganui region,0-4 Years,2012,Female,8080
Manawatu-Wanganui region,0-4 Years,2010,Female,7970
Manawatu-Wanganui region,0-4 Years,2008,Female,7710
Manawatu-Wanganui region,0-4 Years,2009,Female,7830
Manawatu-Wanganui region,0-4 Years,2011,Female,8120
Hawke's Bay region,0-4 Years,2015,Female,5520
Taranaki region,0-4 Years,2015,Female,3910
Manawatu-Wanganui region,0-4 Years,2006,Female,7500
Taranaki region,0-4 Years,2014,Female,3980
Hawke's Bay region,0-4 Years,2014,Female,5700
Gisborne region,0-4 Years,2013,Female,1920
Gisborne region,0-4 Years,2015,Female,1790
Taranaki region,0-4 Years,2007,Female,3470
Taranaki region,0-4 Years,2013,Female,4020
Gisborne region,0-4 Years,2014,Female,1840
Taranaki region,0-4 Years,2006,Female,3390
Taranaki region,0-4 Years,2012,Female,4050
Taranaki region,0-4 Years,2011,Female,3990
Taranaki region,0-4 Years,2009,Female,3740
Taranaki region,0-4 Years,2008,Female,3610
Taranaki region,0-4 Years,2010,Female,3890
Hawke's Bay region,0-4 Years,2010,Female,5790
Hawke's Bay region,0-4 Years,2008,Female,5460
Hawke's Bay region,0-4 Years,2013,Female,5750
Hawke's Bay region,0-4 Years,2011,Female,5840
Hawke's Bay region,0-4 Years,2007,Female,5350
Hawke's Bay region,0-4 Years,2009,Female,5560
Hawke's Bay region,0-4 Years,2012,Female,5820
Gisborne region,0-4 Years,2007,Female,1850
Gisborne region,0-4 Years,2011,Female,1950
Hawke's Bay region,0-4 Years,2006,Female,5310
Gisborne region,0-4 Years,2006,Female,1830
Gisborne region,0-4 Years,2012,Female,1960
Gisborne region,0-4 Years,2008,Female,1870
Manawatu-Wanganui region,0-4 Years,2013,Male,8170
Manawatu-Wanganui region,0-4 Years,2014,Male,8040
Wellington region,0-4 Years,2015,Male,15980
Wellington region,0-4 Years,2014,Male,16350
Tasman region,0-4 Years,2006,Male,1450
Manawatu-Wanganui region,0-4 Years,2015,Male,7910
Nelson region,0-4 Years,2007,Male,1380
Nelson region,0-4 Years,2006,Male,1330
Tasman region,0-4 Years,2007,Male,1470
Tasman region,0-4 Years,2013,Male,1480
Tasman region,0-4 Years,2014,Male,1400
Tasman region,0-4 Years,2012,Male,1500
Tasman region,0-4 Years,2015,Male,1310
Tasman region,0-4 Years,2011,Male,1500
Tasman region,0-4 Years,2008,Male,1510
Tasman region,0-4 Years,2009,Male,1480
Tasman region,0-4 Years,2010,Male,1480
Nelson region,0-4 Years,2008,Male,1480
Nelson region,0-4 Years,2010,Male,1560
Nelson region,0-4 Years,2011,Male,1600
Nelson region,0-4 Years,2012,Male,1620
Nelson region,0-4 Years,2009,Male,1540
Nelson region,0-4 Years,2013,Male,1570
Nelson region,0-4 Years,2014,Male,1540
Nelson region,0-4 Years,2015,Male,1510
Marlborough region,0-4 Years,2007,Male,1310
Marlborough region,0-4 Years,2006,Male,1260
Marlborough region,0-4 Years,2008,Male,1360
Marlborough region,0-4 Years,2010,Male,1420
Marlborough region,0-4 Years,2012,Male,1440
Marlborough region,0-4 Years,2011,Male,1440
Marlborough region,0-4 Years,2009,Male,1380
West Coast region,0-4 Years,2009,Male,1120
West Coast region,0-4 Years,2011,Male,1120
West Coast region,0-4 Years,2012,Male,1140
West Coast region,0-4 Years,2010,Male,1140
West Coast region,0-4 Years,2008,Male,1090
West Coast region,0-4 Years,2006,Male,1040
West Coast region,0-4 Years,2007,Male,1050
Canterbury region,0-4 Years,2006,Male,17100
Canterbury region,0-4 Years,2007,Male,17750
Marlborough region,0-4 Years,2013,Male,1370
Marlborough region,0-4 Years,2014,Male,1350
Marlborough region,0-4 Years,2015,Male,1340
West Coast region,0-4 Years,2015,Male,990
West Coast region,0-4 Years,2014,Male,1010
West Coast region,0-4 Years,2013,Male,1090
Canterbury region,0-4 Years,2009,Male,18740
Canterbury region,0-4 Years,2011,Male,18910
Canterbury region,0-4 Years,2010,Male,19230
Canterbury region,0-4 Years,2008,Male,18250
Canterbury region,0-4 Years,2015,Male,18010
Canterbury region,0-4 Years,2014,Male,18230
Canterbury region,0-4 Years,2013,Male,18370
Canterbury region,0-4 Years,2012,Male,18260
Otago region,0-4 Years,2006,Male,5580
Otago region,0-4 Years,2007,Male,5670
Northland region,5-9 Years,2006,Male,5940
Northland region,5-9 Years,2008,Male,5930
Northland region,5-9 Years,2007,Male,5940
Auckland region,5-9 Years,2006,Male,49760
Auckland region,5-9 Years,2008,Male,50120
Auckland region,5-9 Years,2007,Male,49870
Otago region,0-4 Years,2008,Male,5810
Otago region,0-4 Years,2009,Male,6020
Otago region,0-4 Years,2010,Male,6080
Otago region,0-4 Years,2011,Male,6280
Southland region,0-4 Years,2008,Male,3340
Southland region,0-4 Years,2007,Male,3280
Southland region,0-4 Years,2006,Male,3210
Northland region,5-9 Years,2010,Male,5860
Northland region,5-9 Years,2009,Male,5900
Auckland region,5-9 Years,2010,Male,50270
Auckland region,5-9 Years,2009,Male,50490
Otago region,0-4 Years,2014,Male,6220
Otago region,0-4 Years,2012,Male,6320
Otago region,0-4 Years,2015,Male,6020
Southland region,0-4 Years,2009,Male,3430
Southland region,0-4 Years,2010,Male,3500
Northland region,5-9 Years,2012,Male,6050
Otago region,0-4 Years,2013,Male,6380
Northland region,5-9 Years,2011,Male,5900
Northland region,5-9 Years,2014,Male,6350
Northland region,5-9 Years,2013,Male,6190
Northland region,5-9 Years,2015,Male,6580
Northland region,5-9 Years,2013,Female,5960
Northland region,5-9 Years,2015,Female,6110
Northland region,5-9 Years,2014,Female,5960
Southland region,0-4 Years,2009,Female,3160
Northland region,5-9 Years,2011,Female,5680
Northland region,5-9 Years,2012,Female,5850
Southland region,0-4 Years,2010,Female,3250
Otago region,0-4 Years,2015,Female,5810
Otago region,0-4 Years,2013,Female,5920
Otago region,0-4 Years,2012,Female,5780
Otago region,0-4 Years,2014,Female,5870
Otago region,0-4 Years,2011,Female,5790
Southland region,0-4 Years,2007,Female,3010
Northland region,5-9 Years,2009,Female,5660
Auckland region,5-9 Years,2009,Female,47800
Auckland region,5-9 Years,2010,Female,47480
Northland region,5-9 Years,2010,Female,5660
Southland region,0-4 Years,2006,Female,2990
Southland region,0-4 Years,2008,Female,3080
Otago region,0-4 Years,2010,Female,5690
Otago region,0-4 Years,2007,Female,5560
Northland region,5-9 Years,2007,Female,5730
Auckland region,5-9 Years,2007,Female,47790
Otago region,0-4 Years,2009,Female,5660
Otago region,0-4 Years,2008,Female,5620
Auckland region,5-9 Years,2008,Female,47670
Auckland region,5-9 Years,2006,Female,47810
Northland region,5-9 Years,2008,Female,5640
Northland region,5-9 Years,2006,Female,5760
Otago region,0-4 Years,2006,Female,5410
Canterbury region,0-4 Years,2012,Female,17430
Canterbury region,0-4 Years,2009,Female,17620
Canterbury region,0-4 Years,2011,Female,17900
Canterbury region,0-4 Years,2015,Female,17210
Canterbury region,0-4 Years,2013,Female,17350
Canterbury region,0-4 Years,2014,Female,17230
Canterbury region,0-4 Years,2008,Female,17270
Canterbury region,0-4 Years,2010,Female,18100
West Coast region,0-4 Years,2015,Female,970
West Coast region,0-4 Years,2013,Female,1120
West Coast region,0-4 Years,2012,Female,1110
West Coast region,0-4 Years,2014,Female,1040
Marlborough region,0-4 Years,2013,Female,1430
Marlborough region,0-4 Years,2015,Female,1320
Marlborough region,0-4 Years,2014,Female,1390
West Coast region,0-4 Years,2007,Female,910
Canterbury region,0-4 Years,2007,Female,16840
Canterbury region,0-4 Years,2006,Female,16510
West Coast region,0-4 Years,2006,Female,910
West Coast region,0-4 Years,2008,Female,920
West Coast region,0-4 Years,2009,Female,980
West Coast region,0-4 Years,2011,Female,1070
West Coast region,0-4 Years,2010,Female,1030
Marlborough region,0-4 Years,2011,Female,1390
Marlborough region,0-4 Years,2009,Female,1300
Marlborough region,0-4 Years,2012,Female,1430
Marlborough region,0-4 Years,2010,Female,1370
Marlborough region,0-4 Years,2008,Female,1240
Marlborough region,0-4 Years,2006,Female,1170
Nelson region,0-4 Years,2015,Female,1380
Marlborough region,0-4 Years,2007,Female,1180
Nelson region,0-4 Years,2014,Female,1440
Nelson region,0-4 Years,2011,Female,1490
Nelson region,0-4 Years,2013,Female,1430
Nelson region,0-4 Years,2012,Female,1450
Nelson region,0-4 Years,2010,Female,1470
Tasman region,0-4 Years,2011,Female,1420
Nelson region,0-4 Years,2009,Female,1410
Nelson region,0-4 Years,2008,Female,1390
Tasman region,0-4 Years,2010,Female,1430
Tasman region,0-4 Years,2008,Female,1510
Tasman region,0-4 Years,2013,Female,1380
Tasman region,0-4 Years,2009,Female,1430
Tasman region,0-4 Years,2012,Female,1390
Tasman region,0-4 Years,2014,Female,1340
Nelson region,0-4 Years,2007,Female,1320
Tasman region,0-4 Years,2015,Female,1290
Nelson region,0-4 Years,2006,Female,1260
Wellington region,0-4 Years,2015,Female,15230
Tasman region,0-4 Years,2007,Female,1520
Tasman region,0-4 Years,2006,Female,1520
Wellington region,0-4 Years,2014,Female,15650
Manawatu-Wanganui region,0-4 Years,2014,Female,7840
Manawatu-Wanganui region,0-4 Years,2013,Female,7960
Manawatu-Wanganui region,0-4 Years,2015,Female,7620
Southland region,0-4 Years,2014,Male,3450
Southland region,0-4 Years,2011,Male,3570
Southland region,0-4 Years,2012,Male,3560
Southland region,0-4 Years,2015,Male,3330
Southland region,0-4 Years,2013,Male,3490
Auckland region,5-9 Years,2012,Male,51350
Auckland region,5-9 Years,2013,Male,52420
Auckland region,5-9 Years,2011,Male,50450
Auckland region,5-9 Years,2014,Male,53510
Auckland region,5-9 Years,2015,Male,55070
Waikato region,5-9 Years,2009,Male,14830
Waikato region,5-9 Years,2006,Male,14990
Waikato region,5-9 Years,2007,Male,14990
Waikato region,5-9 Years,2008,Male,14860
Bay of Plenty region,5-9 Years,2008,Male,10330
Bay of Plenty region,5-9 Years,2007,Male,10420
Bay of Plenty region,5-9 Years,2006,Male,10400
Bay of Plenty region,5-9 Years,2009,Male,10240
Waikato region,5-9 Years,2012,Male,15120
Waikato region,5-9 Years,2011,Male,14900
Waikato region,5-9 Years,2010,Male,14890
Waikato region,5-9 Years,2014,Male,16090
Waikato region,5-9 Years,2015,Male,16650
Waikato region,5-9 Years,2013,Male,15480
Bay of Plenty region,5-9 Years,2011,Male,10090
Bay of Plenty region,5-9 Years,2010,Male,10150
Gisborne region,5-9 Years,2006,Male,1990
Gisborne region,5-9 Years,2007,Male,2000
Hawke's Bay region,5-9 Years,2007,Male,5830
Hawke's Bay region,5-9 Years,2006,Male,5860
Bay of Plenty region,5-9 Years,2013,Male,10390
Bay of Plenty region,5-9 Years,2012,Male,10200
Bay of Plenty region,5-9 Years,2014,Male,10610
Bay of Plenty region,5-9 Years,2015,Male,10790
Gisborne region,5-9 Years,2011,Male,2020
Gisborne region,5-9 Years,2008,Male,1990
Gisborne region,5-9 Years,2009,Male,2020
Gisborne region,5-9 Years,2010,Male,2050
Hawke's Bay region,5-9 Years,2010,Male,5690
Hawke's Bay region,5-9 Years,2009,Male,5740
Hawke's Bay region,5-9 Years,2008,Male,5700
Hawke's Bay region,5-9 Years,2011,Male,5670
Taranaki region,5-9 Years,2006,Male,3940
Taranaki region,5-9 Years,2007,Male,3920
Manawatu-Wanganui region,5-9 Years,2007,Male,8140
Manawatu-Wanganui region,5-9 Years,2006,Male,8310
Gisborne region,5-9 Years,2012,Male,2050
Gisborne region,5-9 Years,2013,Male,2050
Gisborne region,5-9 Years,2014,Male,2060
Gisborne region,5-9 Years,2015,Male,2060
Hawke's Bay region,5-9 Years,2015,Male,5980
Hawke's Bay region,5-9 Years,2014,Male,5800
Hawke's Bay region,5-9 Years,2013,Male,5750
Hawke's Bay region,5-9 Years,2012,Male,5710
Taranaki region,5-9 Years,2008,Male,3900
Taranaki region,5-9 Years,2010,Male,3870
Taranaki region,5-9 Years,2009,Male,3860
Manawatu-Wanganui region,5-9 Years,2009,Male,7930
Manawatu-Wanganui region,5-9 Years,2010,Male,7800
Manawatu-Wanganui region,5-9 Years,2011,Male,7800
Manawatu-Wanganui region,5-9 Years,2008,Male,8020
Wellington region,5-9 Years,2006,Male,15840
Taranaki region,5-9 Years,2015,Male,4350
Taranaki region,5-9 Years,2012,Male,3960
Taranaki region,5-9 Years,2014,Male,4240
Taranaki region,5-9 Years,2011,Male,3860
Taranaki region,5-9 Years,2013,Male,4040
Manawatu-Wanganui region,5-9 Years,2013,Male,8030
Manawatu-Wanganui region,5-9 Years,2014,Male,8170
Manawatu-Wanganui region,5-9 Years,2012,Male,7840
Manawatu-Wanganui region,5-9 Years,2015,Male,8470
Wellington region,5-9 Years,2011,Male,15760
Wellington region,5-9 Years,2009,Male,15930
Wellington region,5-9 Years,2010,Male,15830
Wellington region,5-9 Years,2007,Male,15860
Wellington region,5-9 Years,2008,Male,15920
Wellington region,5-9 Years,2013,Male,15970
Wellington region,5-9 Years,2015,Male,16680
Wellington region,5-9 Years,2012,Male,15870
Wellington region,5-9 Years,2014,Male,16220
Tasman region,5-9 Years,2006,Male,1730
Tasman region,5-9 Years,2012,Male,1680
Tasman region,5-9 Years,2010,Male,1660
Tasman region,5-9 Years,2008,Male,1670
Tasman region,5-9 Years,2009,Male,1690
Tasman region,5-9 Years,2007,Male,1680
Tasman region,5-9 Years,2011,Male,1670
Nelson region,5-9 Years,2007,Male,1420
Nelson region,5-9 Years,2009,Male,1450
Nelson region,5-9 Years,2008,Male,1420
Nelson region,5-9 Years,2010,Male,1450
Nelson region,5-9 Years,2012,Male,1470
Nelson region,5-9 Years,2011,Male,1460
Nelson region,5-9 Years,2006,Male,1390
Marlborough region,5-9 Years,2007,Male,1340
Marlborough region,5-9 Years,2009,Male,1340
Marlborough region,5-9 Years,2008,Male,1310
Marlborough region,5-9 Years,2010,Male,1320
Marlborough region,5-9 Years,2011,Male,1340
Marlborough region,5-9 Years,2006,Male,1360
West Coast region,5-9 Years,2006,Male,1060
Tasman region,5-9 Years,2013,Male,1730
Tasman region,5-9 Years,2015,Male,1700
Tasman region,5-9 Years,2014,Male,1700
Nelson region,5-9 Years,2013,Male,1550
Nelson region,5-9 Years,2014,Male,1560
Marlborough region,5-9 Years,2013,Male,1410
Marlborough region,5-9 Years,2012,Male,1370
Marlborough region,5-9 Years,2014,Male,1400
Nelson region,5-9 Years,2015,Male,1590
West Coast region,5-9 Years,2011,Male,1090
West Coast region,5-9 Years,2010,Male,1060
West Coast region,5-9 Years,2008,Male,1030
Marlborough region,5-9 Years,2015,Male,1470
West Coast region,5-9 Years,2009,Male,1040
West Coast region,5-9 Years,2007,Male,1040
West Coast region,5-9 Years,2015,Male,1130
West Coast region,5-9 Years,2014,Male,1100
West Coast region,5-9 Years,2012,Male,1090
West Coast region,5-9 Years,2013,Male,1100
Canterbury region,5-9 Years,2006,Male,17490
Canterbury region,5-9 Years,2012,Male,17460
Canterbury region,5-9 Years,2010,Male,17640
Canterbury region,5-9 Years,2009,Male,17760
Canterbury region,5-9 Years,2007,Male,17550
Canterbury region,5-9 Years,2008,Male,17630
Canterbury region,5-9 Years,2011,Male,17300
Canterbury region,5-9 Years,2013,Male,17950
Canterbury region,5-9 Years,2014,Male,18550
Otago region,5-9 Years,2011,Male,5890
Otago region,5-9 Years,2006,Male,5900
Otago region,5-9 Years,2009,Male,5920
Otago region,5-9 Years,2007,Male,5920
Otago region,5-9 Years,2008,Male,5900
Otago region,5-9 Years,2010,Male,5960
Northland region,10-14 Years,2006,Male,6710
Northland region,10-14 Years,2007,Male,6470
Northland region,10-14 Years,2008,Male,6350
Otago region,5-9 Years,2012,Male,5930
Northland region,10-14 Years,2009,Male,6310
Northland region,10-14 Years,2010,Male,6310
Northland region,10-14 Years,2011,Male,6300
Northland region,10-14 Years,2012,Male,6280
Canterbury region,5-9 Years,2015,Male,19210
Otago region,5-9 Years,2014,Male,6330
Otago region,5-9 Years,2013,Male,6050
Northland region,10-14 Years,2013,Male,6270
Northland region,10-14 Years,2014,Male,6150
Auckland region,10-14 Years,2008,Male,51960
Auckland region,10-14 Years,2010,Male,51890
Auckland region,10-14 Years,2007,Male,52210
Auckland region,10-14 Years,2012,Male,51510
Auckland region,10-14 Years,2006,Male,52240
Auckland region,10-14 Years,2011,Male,51940
Southland region,5-9 Years,2012,Male,3360
Auckland region,10-14 Years,2009,Male,51770
Southland region,5-9 Years,2011,Male,3270
Southland region,5-9 Years,2010,Male,3260
Southland region,5-9 Years,2009,Male,3240
Southland region,5-9 Years,2007,Male,3270
Southland region,5-9 Years,2008,Male,3250
Southland region,5-9 Years,2006,Male,3240
Northland region,10-14 Years,2015,Male,6070
Auckland region,10-14 Years,2014,Male,51140
Auckland region,10-14 Years,2013,Male,51160
Otago region,5-9 Years,2015,Male,6480
Southland region,5-9 Years,2014,Male,3510
Southland region,5-9 Years,2013,Male,3440
Auckland region,10-14 Years,2015,Male,50540
Southland region,5-9 Years,2015,Male,3560
Waikato region,10-14 Years,2010,Male,15630
Waikato region,10-14 Years,2010,Female,14860
Auckland region,10-14 Years,2015,Female,48070
Southland region,5-9 Years,2015,Female,3330
Otago region,5-9 Years,2015,Female,5980
Southland region,5-9 Years,2013,Female,3200
Southland region,5-9 Years,2014,Female,3240
Northland region,10-14 Years,2015,Female,5790
Auckland region,10-14 Years,2013,Female,48410
Auckland region,10-14 Years,2014,Female,48350
Southland region,5-9 Years,2006,Female,3120
Southland region,5-9 Years,2008,Female,3040
Southland region,5-9 Years,2011,Female,3110
Southland region,5-9 Years,2007,Female,3080
Southland region,5-9 Years,2010,Female,3100
Auckland region,10-14 Years,2011,Female,49350
Southland region,5-9 Years,2009,Female,3060
Southland region,5-9 Years,2012,Female,3140
Auckland region,10-14 Years,2006,Female,49460
Auckland region,10-14 Years,2007,Female,49870
Auckland region,10-14 Years,2009,Female,49410
Auckland region,10-14 Years,2012,Female,48820
Auckland region,10-14 Years,2010,Female,49230
Auckland region,10-14 Years,2008,Female,49780
Otago region,5-9 Years,2013,Female,5740
Northland region,10-14 Years,2013,Female,5840
Northland region,10-14 Years,2014,Female,5850
Northland region,10-14 Years,2011,Female,6020
Canterbury region,5-9 Years,2015,Female,18000
Otago region,5-9 Years,2014,Female,5840
Northland region,10-14 Years,2012,Female,5950
Northland region,10-14 Years,2010,Female,6020
Otago region,5-9 Years,2012,Female,5670
Northland region,10-14 Years,2007,Female,6150
Northland region,10-14 Years,2009,Female,5970
Northland region,10-14 Years,2008,Female,6030
Northland region,10-14 Years,2006,Female,6290
Otago region,5-9 Years,2010,Female,5630
Otago region,5-9 Years,2009,Female,5600
Otago region,5-9 Years,2007,Female,5550
Otago region,5-9 Years,2008,Female,5560
Canterbury region,5-9 Years,2013,Female,17050
Otago region,5-9 Years,2011,Female,5640
Otago region,5-9 Years,2006,Female,5540
Canterbury region,5-9 Years,2014,Female,17500
Canterbury region,5-9 Years,2007,Female,16960
Canterbury region,5-9 Years,2011,Female,16690
Canterbury region,5-9 Years,2008,Female,17000
West Coast region,5-9 Years,2013,Female,970
Canterbury region,5-9 Years,2009,Female,17170
Canterbury region,5-9 Years,2010,Female,17140
Canterbury region,5-9 Years,2012,Female,16610
West Coast region,5-9 Years,2007,Female,1000
West Coast region,5-9 Years,2015,Female,1080
Canterbury region,5-9 Years,2006,Female,16790
West Coast region,5-9 Years,2012,Female,940
West Coast region,5-9 Years,2014,Female,1030
West Coast region,5-9 Years,2011,Female,950
West Coast region,5-9 Years,2009,Female,980
West Coast region,5-9 Years,2008,Female,980
West Coast region,5-9 Years,2010,Female,970
Marlborough region,5-9 Years,2013,Female,1280
Marlborough region,5-9 Years,2015,Female,1450
Marlborough region,5-9 Years,2014,Female,1330
Marlborough region,5-9 Years,2012,Female,1220
Nelson region,5-9 Years,2014,Female,1500
Tasman region,5-9 Years,2013,Female,1670
Tasman region,5-9 Years,2015,Female,1610
Nelson region,5-9 Years,2013,Female,1520
Nelson region,5-9 Years,2015,Female,1540
Tasman region,5-9 Years,2014,Female,1620
Marlborough region,5-9 Years,2009,Female,1230
Marlborough region,5-9 Years,2011,Female,1220
West Coast region,5-9 Years,2006,Female,1010
Marlborough region,5-9 Years,2006,Female,1320
Marlborough region,5-9 Years,2010,Female,1230
Marlborough region,5-9 Years,2008,Female,1230
Nelson region,5-9 Years,2011,Female,1400
Marlborough region,5-9 Years,2007,Female,1270
Nelson region,5-9 Years,2006,Female,1300
Nelson region,5-9 Years,2012,Female,1470
Nelson region,5-9 Years,2010,Female,1380
Nelson region,5-9 Years,2007,Female,1320
Nelson region,5-9 Years,2009,Female,1360
Nelson region,5-9 Years,2008,Female,1330
Tasman region,5-9 Years,2007,Female,1560
Tasman region,5-9 Years,2011,Female,1690
Wellington region,5-9 Years,2015,Female,15920
Tasman region,5-9 Years,2009,Female,1650
Tasman region,5-9 Years,2008,Female,1560
Tasman region,5-9 Years,2010,Female,1670
Tasman region,5-9 Years,2012,Female,1690
Tasman region,5-9 Years,2006,Female,1500
Wellington region,5-9 Years,2014,Female,15620
Wellington region,5-9 Years,2012,Female,15260
Wellington region,5-9 Years,2007,Female,15270
Wellington region,5-9 Years,2013,Female,15500
Wellington region,5-9 Years,2008,Female,15300
Wellington region,5-9 Years,2010,Female,15160
Wellington region,5-9 Years,2011,Female,15180
Wellington region,5-9 Years,2009,Female,15360
Manawatu-Wanganui region,5-9 Years,2013,Female,7640
Manawatu-Wanganui region,5-9 Years,2015,Female,8010
Manawatu-Wanganui region,5-9 Years,2012,Female,7520
